,Temp,GrowthRate_nATP05,FinalBiomass_nATP05,FinalCH4_nATP05,GrowthRate_nATP10,FinalBiomass_nATP10,FinalCH4_nATP10,GrowthRate_nATP15,FinalBiomass_nATP15,FinalCH4_nATP15
39,319,0.0,500.0,3.00531592095945e-08,0.0,500.0,3.00531592095945e-08,0.0,500.0,3.005315920959448e-08
40,320,0.0,500.0,3.0042464816712775e-08,0.0,500.0,3.0042464816712775e-08,0.0,500.0,3.004246481671274e-08
41,321,0.0,500.0,3.006922832034532e-08,0.0,500.0,3.006922832034532e-08,0.0,500.0,3.0069228320345256e-08
42,322,0.0,500.0,3.007900169852296e-08,0.0,500.0,3.007900169852296e-08,0.0,500.0,3.0079001698522883e-08
43,323,0.0,500.0,3.0090154842286634e-08,0.0,500.0,3.0090154842286634e-08,0.0,500.0,3.00901548422865e-08
44,324,0.0,500.0,3.0102882541007074e-08,0.0,500.0,3.0102882541007074e-08,0.0,500.0,3.010288254100688e-08
45,325,0.0,500.0,3.005870356732161e-08,0.0,500.0,3.005870356732161e-08,0.0,500.0,3.005870356732146e-08
46,326,0.0,500.0,3.013398214019188e-08,0.0,500.0,3.013398214019188e-08,0.0,500.0,3.013398214019147e-08
47,327,0.0,500.0,3.015289719348452e-08,0.0,500.0,3.015289719348452e-08,0.0,500.0,3.015289719348394e-08
48,328,0.0,500.0,3.0174482593363306e-08,0.0,500.0,3.0174482593363306e-08,0.0,500.0,3.0174482593362446e-08
49,329,0.0,500.0,3.0199115326861734e-08,0.0,500.0,3.0199115326861734e-08,0.0,500.0,3.0199115326860503e-08
50,330,0.0,500.0,3.022722560194063e-08,0.0,500.0,3.022722560194063e-08,0.0,500.0,3.022722560193886e-08
